id,region,lga,ward,pump_age,extraction_type,quantity,p_non_functional,predicted_status,population_est,priority_score,action,priority_tier
7937,Iringa,Kilolo,Ukumbi,27.0,gravity,dry,0.8766,non functional,300.0,263.0,1. Étude hydrogéologique,P1
12284,Mwanza,Sengerema,Sima,,nira/tanira,enough,0.6572,non functional,400.0,262.9,3. Réparation,P1
54828,Mwanza,Sengerema,Sima,,nira/tanira,enough,0.6572,non functional,400.0,262.9,3. Réparation,P1
57374,Mara,Bunda,Sazira,40.0,gravity,unknown,0.8752,non functional,300.0,262.6,2. Remplacement,P1
41079,Morogoro,Kilosa,Mikumi,13.0,gravity,enough,0.5834,non functional,450.0,262.5,4. Inspection de contrôle,P1
25410,Mwanza,Magu,Lutale,,swn 80,enough,0.6554,non functional,400.0,262.2,3. Réparation,P1
18215,Shinyanga,Kahama,Mhongolo,,other,dry,0.5239,non functional,500.0,262.0,1. Étude hydrogéologique,P1
35700,Mtwara,Mtwara Rural,Madimba,35.0,mono,enough,0.262,functional,1000.0,262.0,5. Aucune action,P1
15088,Iringa,Ludewa,Lugarawa,11.0,gravity,enough,0.5235,non functional,500.0,261.8,4. Inspection de contrôle,P1
42310,Pwani,Kibaha,Kwala,37.0,india mark ii,enough,0.6544,non functional,400.0,261.8,2. Remplacement,P1
40309,Ruvuma,Songea Rural,Maposeni,4.0,other,enough,0.1309,functional,2000.0,261.8,5. Aucune action,P1
19100,Iringa,Iringa Rural,Mgama,33.0,gravity,enough,0.2013,functional,1300.0,261.7,5. Aucune action,P1
63793,Morogoro,Morogoro Rural,Bwakila Chini,25.0,swn 80,insufficient,0.5225,non functional,500.0,261.2,4. Inspection de contrôle,P1
38682,Lindi,Ruangwa,Likunja,31.0,nira/tanira,enough,0.1045,functional,2500.0,261.2,5. Aucune action,P1
768,Kigoma,Kibondo,Kakonko,20.0,gravity,insufficient,0.5221,non functional,500.0,261.0,4. Inspection de contrôle,P1
11588,Mara,Tarime,Turwa,3.0,submersible,enough,0.4343,functional,600.0,260.6,4. Inspection de contrôle,P1
62833,Singida,Iramba,Mwanga,14.0,other,dry,0.9831,non functional,265.0,260.5,1. Étude hydrogéologique,P1
38773,Lindi,Nachingwea,Kipara Mnero,30.0,other,insufficient,0.9974,non functional,261.0,260.3,2. Remplacement,P1
17780,Mwanza,Sengerema,Nyehunge,,nira/tanira,dry,0.6503,non functional,400.0,260.1,1. Étude hydrogéologique,P1
35611,Kigoma,Kibondo,Rugongowe,25.0,gravity,enough,0.5202,non functional,500.0,260.1,4. Inspection de contrôle,P1
72484,Manyara,Hanang,Endasak,5.0,gravity,dry,0.3167,functional,821.0,260.0,1. Étude hydrogéologique,P1
70105,Mwanza,Ukerewe,Bukiko,12.0,other,insufficient,0.4334,non functional,600.0,260.0,4. Inspection de contrôle,P1
46767,Ruvuma,Songea Rural,Kilagano,29.0,gravity,enough,0.5627,non functional,462.0,260.0,4. Inspection de contrôle,P1
14339,Mwanza,Magu,Nkungulu,,swn 80,enough,0.6496,non functional,400.0,259.8,3. Réparation,P1
25800,Dar es Salaam,Ilala,Chanika,23.0,swn 80,enough,0.8656,non functional,300.0,259.7,2. Remplacement,P1
51130,Shinyanga,Meatu,Mwabuzo,,gravity,seasonal,0.5193,non functional,500.0,259.6,4. Inspection de contrôle,P1
14163,Shinyanga,Shinyanga Rural,Tinde,,other,seasonal,0.5187,non functional,500.0,259.4,4. Inspection de contrôle,P1
44353,Lindi,Nachingwea,Kiegei,28.0,other,seasonal,0.9969,non functional,260.0,259.2,2. Remplacement,P1
33409,Ruvuma,Namtumbo,Luegu,35.0,gravity,dry,0.7193,non functional,360.0,258.9,1. Étude hydrogéologique,P1
18575,Morogoro,Kilombero,Kibaoni,2.0,swn 80,insufficient,0.5175,non functional,500.0,258.8,4. Inspection de contrôle,P1
2314,Shinyanga,Kahama,Jana,,swn 80,enough,0.517,non functional,500.0,258.5,4. Inspection de contrôle,P1
27596,Pwani,Kibaha,Tumbi,3.0,mono,enough,0.4097,functional,630.0,258.1,4. Inspection de contrôle,P1
34218,Morogoro,Kilosa,Msowero,36.0,submersible,insufficient,0.9044,non functional,285.0,257.8,2. Remplacement,P1
23752,Shinyanga,Shinyanga Rural,Solwa,,walimi,unknown,0.5154,non functional,500.0,257.7,4. Inspection de contrôle,P1
3816,Kigoma,Kibondo,Muhange,3.0,gravity,enough,0.8582,non functional,300.0,257.5,3. Réparation,P1
12509,Iringa,Kilolo,Mahenge,27.0,gravity,enough,0.8584,non functional,300.0,257.5,2. Remplacement,P1
10496,Morogoro,Morogoro Rural,Kisemu,14.0,swn 80,enough,0.5149,non functional,500.0,257.4,4. Inspection de contrôle,P1
7883,Tanga,Handeni,Kwaluguru,8.0,submersible,enough,0.2571,functional,1000.0,257.1,5. Aucune action,P1
17532,Morogoro,Morogoro Rural,Mkulazi,11.0,gravity,seasonal,0.514,non functional,500.0,257.0,4. Inspection de contrôle,P1
9857,Lindi,Ruangwa,Mandawa,11.0,other,insufficient,0.9879,non functional,260.0,256.9,2. Remplacement,P1
38709,Morogoro,Kilosa,Chakwale,7.0,other,insufficient,0.4841,functional,530.0,256.6,4. Inspection de contrôle,P1
57334,Shinyanga,Shinyanga Rural,Usanda,,other,seasonal,0.5132,non functional,500.0,256.6,4. Inspection de contrôle,P1
40819,Morogoro,Morogoro Rural,Selambala,14.0,nira/tanira,enough,0.2566,functional,1000.0,256.6,5. Aucune action,P1
3936,Singida,Manyoni,Mgandu,17.0,afridev,insufficient,0.0611,functional,4200.0,256.6,5. Aucune action,P1
32284,Morogoro,Kilosa,Kidete,14.0,swn 80,insufficient,0.6409,non functional,400.0,256.4,3. Réparation,P1
49050,Mara,Bunda,Salama,19.0,india mark ii,enough,0.6411,non functional,400.0,256.4,3. Réparation,P1
4932,Mwanza,Ukerewe,Nduruma,13.0,other,insufficient,0.7321,non functional,350.0,256.2,2. Remplacement,P1
9048,Lindi,Nachingwea,Mnero Miembeni,,other,dry,0.9887,non functional,259.0,256.1,1. Étude hydrogéologique,P1
58943,Mara,Bunda,Nyamuswa,2.0,gravity,unknown,0.8531,non functional,300.0,255.9,3. Réparation,P1
27728,Pwani,Mkuranga,Mkuranga,4.0,other,dry,0.8527,non functional,300.0,255.8,1. Étude hydrogéologique,P1
13975,Mara,Musoma Rural,Buswahili,13.0,afridev,enough,0.7988,non functional,320.0,255.6,3. Réparation,P1
67595,Kigoma,Kasulu,Rusesa,11.0,afridev,enough,0.2689,functional,950.0,255.5,5. Aucune action,P1
3839,Lindi,Ruangwa,Malolo,15.0,submersible,enough,0.9826,non functional,260.0,255.5,3. Réparation,P1
65019,Morogoro,Kilosa,Mikumi,26.0,other,enough,0.8505,non functional,300.0,255.2,2. Remplacement,P1
49783,Singida,Manyoni,Sasajila,21.0,nira/tanira,enough,0.5661,non functional,450.0,254.7,4. Inspection de contrôle,P1
56778,Shinyanga,Kishapu,Ukenyenge,,gravity,seasonal,0.5095,non functional,500.0,254.7,4. Inspection de contrôle,P1
47817,Iringa,Kilolo,Boma la ng'ombe,5.0,gravity,enough,0.6365,non functional,400.0,254.6,3. Réparation,P1
33150,Rukwa,Mpanda,Mtapenda,36.0,gravity,enough,0.8482,non functional,300.0,254.5,2. Remplacement,P1
43462,Lindi,Kilwa,Chumo,28.0,other,insufficient,0.9941,non functional,256.0,254.5,2. Remplacement,P1
6311,Mwanza,Magu,Kahangara,,mono,enough,0.6354,non functional,400.0,254.2,2. Remplacement,P1
6212,Manyara,Hanang,Hidet,5.0,gravity,dry,0.8949,non functional,284.0,254.2,1. Étude hydrogéologique,P1
43049,Morogoro,Kilombero,Lumemo,7.0,nira/tanira,insufficient,0.2481,functional,1024.0,254.1,5. Aucune action,P1
59512,Kigoma,Kasulu,Rungwe Mpya,27.0,swn 80,enough,0.3678,functional,690.0,253.8,4. Inspection de contrôle,P1
33693,Morogoro,Kilosa,Kidete,2.0,swn 80,insufficient,0.2934,functional,865.0,253.8,5. Aucune action,P1
48833,Kigoma,Kibondo,Rugongowe,25.0,gravity,enough,0.6346,non functional,400.0,253.8,2. Remplacement,P1
2666,Mwanza,Geita,Kalangalala,,submersible,dry,0.6344,non functional,400.0,253.8,1. Étude hydrogéologique,P1
47180,Manyara,Kiteto,Songambele,8.0,submersible,enough,0.845,non functional,300.0,253.5,3. Réparation,P1
64901,Mtwara,Mtwara Rural,Dihimba,7.0,india mark ii,enough,0.6335,non functional,400.0,253.4,3. Réparation,P1
66506,Manyara,Mbulu,Haidom,1.0,other,seasonal,0.5449,non functional,465.0,253.4,4. Inspection de contrôle,P1
6864,Arusha,Ngorongoro,Olgosorok,8.0,india mark ii,enough,0.8439,non functional,300.0,253.2,3. Réparation,P1
17759,Mara,Musoma Rural,Bwiregi,37.0,gravity,enough,0.8433,non functional,300.0,253.0,2. Remplacement,P1
71219,Mwanza,Sengerema,Lugata,,swn 80,enough,0.6323,non functional,400.0,252.9,3. Réparation,P1
26137,Manyara,Simanjiro,Ngorika,13.0,other,seasonal,0.8429,non functional,300.0,252.9,2. Remplacement,P1
6107,Shinyanga,Kahama,Ukune,,other,dry,0.5053,non functional,500.0,252.6,1. Étude hydrogéologique,P1
39203,Kigoma,Kibondo,Kibondo Urban,7.0,india mark ii,enough,0.7214,non functional,350.0,252.5,3. Réparation,P1
20077,Tanga,Pangani,Mwera,3.0,submersible,enough,0.8414,non functional,300.0,252.4,3. Réparation,P1
12054,Morogoro,Kilosa,Chanzuru,29.0,other,insufficient,0.9708,non functional,260.0,252.4,2. Remplacement,P1
57899,Shinyanga,Kishapu,Talaga,,gravity,insufficient,0.5047,non functional,500.0,252.4,4. Inspection de contrôle,P1
54373,Ruvuma,Namtumbo,Ligera,13.0,swn 80,insufficient,0.4672,functional,540.0,252.3,4. Inspection de contrôle,P1
72376,Shinyanga,Kahama,Busangi,,other,dry,0.5042,non functional,500.0,252.1,1. Étude hydrogéologique,P1
33035,Rukwa,Sumbawanga Rural,Mwazye,22.0,gravity,enough,0.6303,non functional,400.0,252.1,2. Remplacement,P1
5156,Mara,Serengeti,Nyamatare,17.0,other - rope pump,insufficient,0.8398,non functional,300.0,251.9,3. Réparation,P1
20699,Morogoro,Kilombero,Chita,31.0,gravity,insufficient,0.5037,non functional,500.0,251.8,4. Inspection de contrôle,P1
71971,Lindi,Kilwa,Mandawa,7.0,submersible,enough,0.5356,non functional,470.0,251.7,4. Inspection de contrôle,P1
69047,Morogoro,Kilombero,Kidatu,13.0,nira/tanira,seasonal,0.5031,non functional,500.0,251.6,4. Inspection de contrôle,P1
62856,Kigoma,Kibondo,Misezero,3.0,gravity,insufficient,0.5027,non functional,500.0,251.4,4. Inspection de contrôle,P1
39896,Dar es Salaam,Kinondoni,Kibamba,23.0,submersible,dry,0.9547,non functional,263.0,251.1,1. Étude hydrogéologique,P1
28854,Shinyanga,Kahama,Chona,,other,insufficient,0.5018,non functional,500.0,250.9,4. Inspection de contrôle,P1
59485,Lindi,Kilwa,Kandawale,1.0,submersible,enough,0.9287,non functional,270.0,250.7,3. Réparation,P1
8508,Shinyanga,Kahama,Idahina,,swn 80,enough,0.5011,non functional,500.0,250.6,4. Inspection de contrôle,P1
42048,Kigoma,Kibondo,Kakonko,3.0,gravity,insufficient,0.7156,non functional,350.0,250.5,3. Réparation,P1
73606,Rukwa,Mpanda,Mwese,17.0,nira/tanira,enough,0.5009,non functional,500.0,250.4,4. Inspection de contrôle,P1
31809,Manyara,Mbulu,Bargish,15.0,other,seasonal,0.9654,non functional,259.0,250.0,2. Remplacement,P1
5886,Arusha,Arusha Rural,Bwawani,6.0,other,seasonal,0.8327,non functional,300.0,249.8,2. Remplacement,P1
9460,Mara,Musoma Rural,Buhemba,21.0,nira/tanira,enough,0.8328,non functional,300.0,249.8,2. Remplacement,P1
35576,Mtwara,Masasi,Lukulendi,36.0,other,dry,0.9986,non functional,250.0,249.6,1. Étude hydrogéologique,P1
8015,Mwanza,Ilemela,Ilemela,,nira/tanira,enough,0.26,functional,960.0,249.6,5. Aucune action,P1
33114,Mara,Bunda,Sazira,1.0,other,unknown,0.9971,non functional,250.0,249.3,2. Remplacement,P1
70580,Mara,Bunda,Kabasa,27.0,other,insufficient,0.9973,non functional,250.0,249.3,2. Remplacement,P1
70262,Mwanza,Missungwi,Kasololo,,other,enough,0.6231,non functional,400.0,249.2,2. Remplacement,P1
69146,Mara,Bunda,Sazira,27.0,other,seasonal,0.9967,non functional,250.0,249.2,2. Remplacement,P1
35668,Mara,Bunda,Kabasa,26.0,other,enough,0.9965,non functional,250.0,249.1,2. Remplacement,P1
56537,Mwanza,Ukerewe,Mukituntu,29.0,other,insufficient,0.9963,non functional,250.0,249.1,2. Remplacement,P1
66332,Mara,Bunda,Mcharo,24.0,other,enough,0.9964,non functional,250.0,249.1,2. Remplacement,P1
41028,Mara,Bunda,Wariku,26.0,other,enough,0.9962,non functional,250.0,249.0,2. Remplacement,P1
61028,Shinyanga,Shinyanga Urban,Kolandoto,,afridev,enough,0.498,non functional,500.0,249.0,4. Inspection de contrôle,P1
51144,Mara,Bunda,Butimba,15.0,other,enough,0.996,non functional,250.0,249.0,2. Remplacement,P1
67863,Manyara,Hanang,Gitting,10.0,gravity,insufficient,0.3995,functional,623.0,248.9,4. Inspection de contrôle,P1
50497,Mwanza,Ukerewe,Mukituntu,29.0,other,insufficient,0.9955,non functional,250.0,248.9,2. Remplacement,P1
39793,Mwanza,Magu,Kitongo Sima,,gravity,insufficient,0.6219,non functional,400.0,248.8,3. Réparation,P1
53874,Lindi,Nachingwea,Ndomoni,34.0,other,insufficient,0.9954,non functional,250.0,248.8,2. Remplacement,P1
46363,Shinyanga,Kishapu,Ukenyenge,,other,insufficient,0.4976,non functional,500.0,248.8,4. Inspection de contrôle,P1
45616,Ruvuma,Namtumbo,Ligera,2.0,other,unknown,0.9948,non functional,250.0,248.7,2. Remplacement,P1
42138,Shinyanga,Bariadi,Nkoma,7.0,gravity,seasonal,0.2261,functional needs repair,1100.0,248.7,5. Aucune action,P1
54312,Rukwa,Sumbawanga Rural,Muze,20.0,other,dry,0.9944,non functional,250.0,248.6,1. Étude hydrogéologique,P1
38934,Dar es Salaam,Ilala,Chanika,13.0,other,enough,0.9946,non functional,250.0,248.6,2. Remplacement,P1
3138,Shinyanga,Maswa,Sukuma,,gravity,seasonal,0.4973,non functional,500.0,248.6,4. Inspection de contrôle,P1
23663,Singida,Manyoni,Rungwa,40.0,mono,enough,0.9942,non functional,250.0,248.6,2. Remplacement,P1
1782,Mara,Bunda,Nyamuswa,22.0,other,enough,0.9939,non functional,250.0,248.5,2. Remplacement,P1
4236,Dar es Salaam,Ilala,Chanika,23.0,other,enough,0.9934,non functional,250.0,248.4,2. Remplacement,P1
52907,Singida,Manyoni,Rungwa,35.0,mono,enough,0.9937,non functional,250.0,248.4,2. Remplacement,P1
44767,Mara,Bunda,Nyamuswa,19.0,other,enough,0.9931,non functional,250.0,248.3,2. Remplacement,P1
74218,Mara,Tarime,Tai,27.0,submersible,enough,0.9227,non functional,269.0,248.2,2. Remplacement,P1
17166,Lindi,Liwale,Mirui,13.0,other,dry,0.993,non functional,250.0,248.2,1. Étude hydrogéologique,P1
1718,Mtwara,Mtwara Urban,Ufukoni,37.0,other,dry,0.9929,non functional,250.0,248.2,1. Étude hydrogéologique,P1
51205,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.9921,non functional,250.0,248.0,3. Réparation,P1
7060,Mara,Bunda,Kibara,16.0,other,unknown,0.9922,non functional,250.0,248.0,2. Remplacement,P1
50961,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.9921,non functional,250.0,248.0,3. Réparation,P1
52100,Manyara,Simanjiro,Terrat,13.0,other,enough,0.8267,non functional,300.0,248.0,2. Remplacement,P1
37540,Lindi,Liwale,Ngongowele,21.0,other,dry,0.992,non functional,250.0,248.0,1. Étude hydrogéologique,P1
5203,Lindi,Liwale,Kibutuka,21.0,other,dry,0.9916,non functional,250.0,247.9,1. Étude hydrogéologique,P1
340,Dar es Salaam,Ilala,Msongola,13.0,other,dry,0.9916,non functional,250.0,247.9,1. Étude hydrogéologique,P1
13706,Singida,Manyoni,Sasajila,35.0,mono,enough,0.991,non functional,250.0,247.8,2. Remplacement,P1
34202,Singida,Manyoni,Makanda,40.0,mono,enough,0.9914,non functional,250.0,247.8,2. Remplacement,P1
72224,Singida,Manyoni,Makanda,40.0,mono,enough,0.9912,non functional,250.0,247.8,2. Remplacement,P1
31722,Ruvuma,Songea Rural,Maposeni,4.0,gravity,dry,0.6193,non functional,400.0,247.7,1. Étude hydrogéologique,P1
31663,Lindi,Liwale,Barikiwa,13.0,other,dry,0.9908,non functional,250.0,247.7,1. Étude hydrogéologique,P1
12485,Lindi,Liwale,Mpigamiti,24.0,other,dry,0.9905,non functional,250.0,247.6,1. Étude hydrogéologique,P1
608,Shinyanga,Kahama,Chela,,other,seasonal,0.4952,functional,500.0,247.6,4. Inspection de contrôle,P1
23260,Singida,Manyoni,Majiri,35.0,mono,enough,0.9902,non functional,250.0,247.6,2. Remplacement,P1
11422,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.9899,non functional,250.0,247.5,3. Réparation,P1
14055,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.9899,non functional,250.0,247.5,3. Réparation,P1
59264,Mwanza,Sengerema,Tabaruka,,india mark ii,insufficient,0.6184,non functional,400.0,247.4,3. Réparation,P1
67578,Tanga,Pangani,Pangani Mashariki,5.0,other,insufficient,0.9894,non functional,250.0,247.4,2. Remplacement,P1
19439,Rukwa,Sumbawanga Rural,Legezamwendo,27.0,other,dry,0.9898,non functional,250.0,247.4,1. Étude hydrogéologique,P1
24453,Kigoma,Kasulu,Rungwe Mpya,26.0,swn 80,enough,0.3131,functional,790.0,247.3,5. Aucune action,P1
37155,Lindi,Liwale,Mbaya,27.0,other,dry,0.9886,non functional,250.0,247.2,1. Étude hydrogéologique,P1
20153,Tanga,Kilindi,Jaila,10.0,gravity,insufficient,0.1545,functional,1600.0,247.2,5. Aucune action,P1
47595,Singida,Manyoni,Manyoni,5.0,mono,enough,0.824,non functional,300.0,247.2,2. Remplacement,P1
72429,Lindi,Liwale,Makata,21.0,other,dry,0.989,non functional,250.0,247.2,1. Étude hydrogéologique,P1
16714,Mwanza,Ukerewe,Ilangala,43.0,gravity,insufficient,0.9889,non functional,250.0,247.2,2. Remplacement,P1
72728,Mwanza,Ukerewe,Mukituntu,23.0,other,insufficient,0.6168,non functional,400.0,246.7,2. Remplacement,P1
15109,Kigoma,Kibondo,Kitahana,7.0,india mark ii,enough,0.3524,functional,700.0,246.7,4. Inspection de contrôle,P1
26353,Mwanza,Ukerewe,Mukituntu,23.0,other,insufficient,0.6168,non functional,400.0,246.7,2. Remplacement,P1
48344,Mwanza,Sengerema,Kalebezo,,swn 80,enough,0.6166,non functional,400.0,246.6,3. Réparation,P1
38120,Shinyanga,Kahama,Mhongolo,,swn 80,dry,0.493,functional,500.0,246.5,1. Étude hydrogéologique,P1
55439,Mwanza,Missungwi,Misasi,,mono,unknown,0.6162,non functional,400.0,246.5,2. Remplacement,P1
61505,Shinyanga,Kishapu,Uchunga,,gravity,insufficient,0.4927,non functional,500.0,246.4,4. Inspection de contrôle,P1
58092,Shinyanga,Bukombe,Budakwa,,nira/tanira,enough,0.4928,non functional,500.0,246.4,4. Inspection de contrôle,P1
40617,Singida,Manyoni,Sasajila,35.0,mono,enough,0.9852,non functional,250.0,246.3,2. Remplacement,P1
37248,Kigoma,Kibondo,Kibondo Urban,3.0,india mark ii,enough,0.7033,non functional,350.0,246.2,3. Réparation,P1
14831,Shinyanga,Kishapu,Ukenyenge,,other,insufficient,0.4922,non functional,500.0,246.1,4. Inspection de contrôle,P1
45559,Lindi,Liwale,Mkutano,26.0,other,dry,0.9844,non functional,250.0,246.1,1. Étude hydrogéologique,P1
32647,Mara,Musoma Rural,Buhemba,22.0,other,enough,0.9841,non functional,250.0,246.0,2. Remplacement,P1
8601,Tanga,Muheza,Magila,28.0,other,insufficient,0.9838,non functional,250.0,246.0,2. Remplacement,P1
67702,Kigoma,Kigoma Rural,Mkigo,12.0,gravity,enough,0.3613,functional,680.0,245.7,4. Inspection de contrôle,P1
37908,Ruvuma,Namtumbo,Rwinga,31.0,gravity,enough,0.9826,non functional,250.0,245.6,2. Remplacement,P1
36477,Ruvuma,Namtumbo,Rwinga,31.0,gravity,enough,0.9826,non functional,250.0,245.6,2. Remplacement,P1
29019,Ruvuma,Namtumbo,Namabengo,16.0,nira/tanira,unknown,0.7441,non functional,330.0,245.6,3. Réparation,P1
33205,Rukwa,Sumbawanga Rural,Katazi,3.0,india mark ii,insufficient,0.2145,functional,1144.0,245.4,5. Aucune action,P1
72477,Lindi,Liwale,Mangirikiti,31.0,other,dry,0.9811,non functional,250.0,245.3,1. Étude hydrogéologique,P1
21610,Mara,Musoma Rural,Nyambono,7.0,other,enough,0.9809,non functional,250.0,245.2,2. Remplacement,P1
30392,Ruvuma,Namtumbo,Mgombasi,17.0,swn 80,enough,0.5106,non functional,480.0,245.1,4. Inspection de contrôle,P1
57156,Ruvuma,Namtumbo,Mgombasi,17.0,swn 80,enough,0.5106,non functional,480.0,245.1,4. Inspection de contrôle,P1
6973,Ruvuma,Namtumbo,Rwinga,31.0,gravity,enough,0.9802,non functional,250.0,245.0,2. Remplacement,P1
30237,Dar es Salaam,Ilala,Chanika,23.0,nira/tanira,enough,0.9796,non functional,250.0,244.9,2. Remplacement,P1
62801,Singida,Manyoni,Sanza,41.0,mono,enough,0.9794,non functional,250.0,244.8,2. Remplacement,P1
22192,Morogoro,Kilosa,Malolo,29.0,other,enough,0.9787,non functional,250.0,244.7,2. Remplacement,P1
18540,Morogoro,Morogoro Rural,Bwakila Chini,42.0,mono,enough,0.9781,non functional,250.0,244.5,2. Remplacement,P1
10626,Singida,Iramba,Kiomboi,19.0,other,enough,0.99,non functional,247.0,244.5,2. Remplacement,P1
38679,Rukwa,Mpanda,Shanwe,5.0,submersible,enough,0.1222,functional,2000.0,244.4,5. Aucune action,P1
70170,Ruvuma,Namtumbo,Rwinga,31.0,gravity,enough,0.9775,non functional,250.0,244.4,2. Remplacement,P1
59827,Singida,Manyoni,Isseke,39.0,mono,enough,0.9766,non functional,250.0,244.2,2. Remplacement,P1
3257,Kigoma,Kibondo,Kitahana,8.0,gravity,enough,0.4882,non functional,500.0,244.1,4. Inspection de contrôle,P1
44542,Lindi,Nachingwea,Chiola,35.0,other,insufficient,0.996,non functional,245.0,244.0,2. Remplacement,P1
29170,Lindi,Nachingwea,Chiola,35.0,other,insufficient,0.9959,non functional,245.0,244.0,2. Remplacement,P1
36040,Mara,Musoma Rural,Muriaza,22.0,other,enough,0.975,non functional,250.0,243.8,2. Remplacement,P1
1274,Shinyanga,Bariadi,Zagayu,,swn 80,enough,0.4877,non functional,500.0,243.8,4. Inspection de contrôle,P1
69239,Shinyanga,Bariadi,Zagayu,,swn 80,enough,0.4877,non functional,500.0,243.8,4. Inspection de contrôle,P1
29671,Arusha,Arusha Rural,Bwawani,43.0,gravity,insufficient,0.8127,non functional,300.0,243.8,2. Remplacement,P1
36003,Kigoma,Kasulu,Murufiti,38.0,gravity,enough,0.7616,non functional,320.0,243.7,2. Remplacement,P1
23451,Mtwara,Newala,Makote,,gravity,enough,0.7861,non functional,310.0,243.7,3. Réparation,P1
24812,Lindi,Liwale,Mbaya,7.0,india mark ii,dry,0.6958,non functional,350.0,243.5,1. Étude hydrogéologique,P1
13347,Ruvuma,Namtumbo,Luchili,31.0,gravity,insufficient,0.9737,non functional,250.0,243.4,2. Remplacement,P1
41264,Mara,Musoma Rural,Butuguri,14.0,other,enough,0.9715,non functional,250.0,242.9,2. Remplacement,P1
49990,Tanga,Kilindi,Kikunde,16.0,other,insufficient,0.9097,non functional,267.0,242.9,2. Remplacement,P1
49459,Arusha,Meru,Ngarenanyuki,45.0,gravity,seasonal,0.694,non functional,350.0,242.9,2. Remplacement,P1
30179,Ruvuma,Namtumbo,Msindo,11.0,swn 80,dry,0.2866,functional,847.0,242.8,1. Étude hydrogéologique,P1
23516,Morogoro,Kilosa,Kimamba B,2.0,other,dry,0.971,non functional,250.0,242.8,1. Étude hydrogéologique,P1
50236,Ruvuma,Namtumbo,Luchili,31.0,gravity,insufficient,0.9709,non functional,250.0,242.7,2. Remplacement,P1
72846,Ruvuma,Namtumbo,Luchili,31.0,gravity,enough,0.9709,non functional,250.0,242.7,2. Remplacement,P1
29313,Singida,Manyoni,Chikuyu,35.0,submersible,enough,0.9705,non functional,250.0,242.6,2. Remplacement,P1
57755,Rukwa,Mpanda,Ikola,1.0,other,enough,0.9699,non functional,250.0,242.5,2. Remplacement,P1
58589,Morogoro,Morogoro Rural,Mkuyuni,17.0,swn 80,insufficient,0.4331,functional,560.0,242.5,4. Inspection de contrôle,P1
59172,Mara,Bunda,Nyamhula,35.0,gravity,enough,0.9697,non functional,250.0,242.4,2. Remplacement,P1
44886,Singida,Manyoni,Chikuyu,10.0,afridev,enough,0.1101,functional,2200.0,242.2,5. Aucune action,P1
49113,Mara,Musoma Rural,Bwasi,9.0,other,enough,0.9679,non functional,250.0,242.0,2. Remplacement,P1
16504,Ruvuma,Namtumbo,Lusewa,37.0,gravity,dry,0.8064,non functional,300.0,241.9,1. Étude hydrogéologique,P1
12409,Kilimanjaro,Mwanga,Mwanga Urban,2.0,submersible,insufficient,0.1511,functional,1600.0,241.8,5. Aucune action,P1
32594,Mwanza,Magu,Kitongo Sima,,gravity,insufficient,0.6046,non functional,400.0,241.8,3. Réparation,P1
65877,Pwani,Mkuranga,Panzuo,16.0,other,seasonal,0.8054,non functional,300.0,241.6,2. Remplacement,P1
5092,Morogoro,Morogoro Rural,Bwakila Chini,25.0,swn 80,seasonal,0.6033,non functional,400.0,241.3,2. Remplacement,P1
16845,Singida,Manyoni,Kilimatinde,39.0,mono,enough,0.9649,non functional,250.0,241.2,2. Remplacement,P1
71796,Mwanza,Geita,Kalangalala,,submersible,insufficient,0.6029,non functional,400.0,241.2,3. Réparation,P1
25739,Singida,Manyoni,Kilimatinde,39.0,mono,enough,0.9649,non functional,250.0,241.2,2. Remplacement,P1
57692,Mara,Bunda,Nyamhula,41.0,gravity,enough,0.9645,non functional,250.0,241.1,2. Remplacement,P1
71436,Tanga,Korogwe,Makuyuni,29.0,other,enough,0.9645,non functional,250.0,241.1,2. Remplacement,P1
43554,Mara,Rorya,Nyamagaro,27.0,submersible,enough,0.9834,non functional,245.0,240.9,2. Remplacement,P1
66052,Arusha,Longido,Longido,1.0,gravity,unknown,0.8023,non functional,300.0,240.7,3. Réparation,P1
73324,Ruvuma,Namtumbo,Luchili,31.0,gravity,enough,0.9623,non functional,250.0,240.6,2. Remplacement,P1
48882,Lindi,Kilwa,Kandawale,1.0,submersible,enough,0.9395,non functional,256.0,240.5,3. Réparation,P1
58576,Tanga,Pangani,Mkalamo,3.0,submersible,insufficient,0.9615,non functional,250.0,240.4,3. Réparation,P1
21818,Lindi,Ruangwa,Mandawa,,submersible,insufficient,0.96,non functional,250.0,240.0,3. Réparation,P1
67489,Manyara,Kiteto,Matui,5.0,mono,dry,0.4798,functional,500.0,239.9,1. Étude hydrogéologique,P1
44568,Mara,Bunda,Nyamhula,1.0,gravity,unknown,0.9591,non functional,250.0,239.8,3. Réparation,P1
27751,Shinyanga,Kahama,Chambo,,nira/tanira,enough,0.4794,functional,500.0,239.7,4. Inspection de contrôle,P1
58445,Morogoro,Kilombero,Mang'ula,33.0,gravity,insufficient,0.5993,non functional,400.0,239.7,4. Inspection de contrôle,P1
24609,Shinyanga,Kahama,Chambo,,nira/tanira,enough,0.4794,functional,500.0,239.7,4. Inspection de contrôle,P1
